S2085 Outline	S2085 Text	Common	S685 Outline	S685 Text
TITLE II SEC. 201.(b)(6)	TREATMENT OF PAYMENTS.—For purposes of section 1324 of title 31, United States Code, the payments under this subsection shall be treated in the same manner as a refund due from a credit provision referred to in subsection (b)(2) of such section.			
TITLE II SEC. 201.(c)	ADMINISTRATIVE PROVISIONS.—			
TITLE II SEC. 201.(c)(1)	DEFINITION OF DEFICIENCY.—Section 6211(b)(4)(A) of the Internal Revenue Code of 1986 is amended by striking ‘‘6428A, and 6428B’’ and inserting ‘‘6428A, 6428B, and 6428C’’.			
TITLE II SEC. 201.(c)(2)	EXCEPTION FROM REDUCTION OR OFFSET.—Any refund payable by reason of section 6428C(g) of the Internal Revenue Code of 1986 (as added by this section), or any such refund payable by reason of subsection (b) of this section, shall not be—			
TITLE II SEC. 201.(c)(2)(A)	subject to reduction or offset pursuant to section 3716 or 3720A of title 31, United States Code,			
TITLE II SEC. 201.(c)(2)(B)	subject to reduction or offset pursuant to subsection (c), (d), (e), or (f) of section 6402 of the Internal Revenue Code of 1986, or			
TITLE II SEC. 201.(c)(2)(C)	reduced or offset by other assessed Federal taxes that would otherwise be subject to levy or collection.			
TITLE II SEC. 201.(c)(3)	CONFORMING AMENDMENTS.—			
TITLE II SEC. 201.(c)(3)(A)	Paragraph (2) of section 1324(b) of title 31, United States Code, is amended by inserting ‘‘6428C,’’ after ‘‘6428B,’’.			
TITLE II SEC. 201.(c)(3)(B)	The table of sections for subchapter B of chapter 65 of the Internal Revenue Code of 1986 is amended by inserting after the item relating to section 6428B the following new item:	internal, revenue, code, amended, new	SEC. 3.(a)	IN GENERAL.—Chapter 38 of subtitle D of the Internal Revenue Code of 1986 is amended by adding at the end the following new subchapter: ‘‘Subchapter E—Carbon Fee
TITLE II SEC. 201.(c)(3)(B)		table, sections, internal, revenue, code, amended, new	SEC. 4.(b)	CLERICAL AMENDMENT.—The table of sections for subchapter A of chapter 98 of the Internal Revenue Code of 1986 is amended by adding at the end the following new item:
TITLE II SEC. 201.(c)(3)(B)		internal, revenue, code, amended, new	SEC. 5.(g)	DISCLOSURE OF RETURN INFORMATION.—Section 6103(l) of the Internal Revenue Code of 1986 is amended by adding at the end the following new paragraph:
TITLE II SEC. 201.(d)	EFFECTIVE DATE.—This section, and the amendments made by this section, shall apply to taxable years beginning after December 31, 2022.			
TITLE II SEC. 202.	STATE-BASED COST MITIGATION GRANT PROGRAM.			
TITLE II SEC. 202.(a)	IN GENERAL.—The Secretary of the Treasury shall provide to each State and each eligible Indian tribe that meets the requirements of subsection (d) a cost mitigation grant for each calendar year after 2022 in an amount determined under subsection (c).	state, eligible, indian, tribe, grant	SEC. 7.(c)	ELIGIBLE ENTITIES.—An entity eligible to receive a grant under this section is a labor organization, an institution of higher education, a unit of State or local government, an Indian Tribe, an economic development organization, a nonprofit organization, community-based organization, or intermediary, or a State board or local board that serves or is located in a community that—
TITLE II SEC. 202.(b)	USE OF FUNDS.—A State or eligible Indian tribe receiving a cost mitigation grant under this section shall use the grant to assist with the transition to a low-carbon economy, including—	state, eligible, indian, tribe, grant	SEC. 7.(c)	ELIGIBLE ENTITIES.—An entity eligible to receive a grant under this section is a labor organization, an institution of higher education, a unit of State or local government, an Indian Tribe, an economic development organization, a nonprofit organization, community-based organization, or intermediary, or a State board or local board that serves or is located in a community that—
TITLE II SEC. 202.(b)(1)	to assist low-income households in reducing energy expenses and meeting cost increases attributable to the fees imposed under subchapter E of chapter 38 of the Internal Revenue Code of 1986 (as added by this Act), including though weatherization and energy efficiency programs;			
TITLE II SEC. 202.(b)(2)	to assist rural households in reducing energy expenses and meeting such increases attributable to such fees, including though weatherization and energy efficiency programs;			
TITLE II SEC. 202.(b)(3)	to provide job training and worker transition assistance, with priority given to workers and former workers in fossil-fuel related industries;	job, training, worker, transition, assistance, priority	SEC. 7.(d)(1)(B)	providing reemployment and worker transition assistance, including registered apprenticeships, subsidized employment, job training, transitional jobs, and supportive services, with priority given to—
TITLE II SEC. 202.(b)(4)	to assist the State or eligible Indian tribe in dealing with climate change or the transition to a low-carbon economy; or			
TITLE II SEC. 202.(b)(5)	to address the legacy costs of fossil fuel development.			
TITLE II SEC. 202.(c)	AMOUNT OF GRANT.—			
TITLE II SEC. 202.(c)(1)	AMOUNTS FOR STATES.—The amount of the cost mitigation grant made to any State for any calendar year shall be equal to the product of—	states, amount, cost, equal, product	[SEC. 3.(a)(1)] SEC. 4695.(b)(1)	CARBON-INTENSIVE PRODUCTS.—In the case of any carbon-intensive product which is exported from the United States, the Secretary shall pay to the person exporting such product a refund equal to the amount of the cost of such product attributable to any fees imposed under this subchapter related to the manufacturing of such product (as determined under regulations established by the Secretary).
TITLE II SEC. 202.(c)(1)		states, amount, cost, equal, product	[SEC. 3.(a)(1)] SEC. 4695.(c)(1)(A)	IMPOSITION OF EQUIVALENCY FEE.— In the case of any carbon-intensive product imported into the United States, there is imposed an equivalency fee on the person importing such product in an amount equal to the cost of such product that would be attributable to any fees imposed under this subchapter related to the manufacturing of such product if any inputs or processes used in manufacturing such product were subject to such fees (as determined under regulations established by the Secretary).
TITLE II SEC. 202.(c)(1)(A)	an amount equal to—			
TITLE II SEC. 202.(c)(1)(A)(i)	the annual grant limitation determined under paragraph (4) for such calendar year; minus			
TITLE II SEC. 202.(c)(1)(A)(ii)	3 percent of the amount described in clause (i); and			
TITLE II SEC. 202.(c)(1)(B)	the State allocation percentage for the State (determined under paragraph (2)).			
TITLE II SEC. 202.(c)(2)	STATE ALLOCATION PERCENTAGE.—The ‘‘State allocation percentage’’ for a State is the amount (expressed as a percentage) equal to the quotient of—			
TITLE II SEC. 202.(c)(2)(A)	the population of such State (as reported in the most recent decennial census); and			
TITLE II SEC. 202.(c)(2)(B)	the population of all States (as reported in the most recent decennial census).			
TITLE II SEC. 202.(c)(3)	AMOUNTS FOR ELIGIBLE INDIAN TRIBES.— The amount of the cost mitigation grant made to any eligible Indian tribe for any calendar year shall be an amount equal to the quotient of—			
TITLE II SEC. 202.(c)(3)(A)	3 percent of the annual grant limitation determined under paragraph (4) for such calendar year; divided by			
TITLE II SEC. 202.(c)(3)(B)	the total number of eligible Indian tribes that have applied for a grant for such calendar year and satisfy the requirements under subsection (d).			
TITLE II SEC. 202.(c)(4)	ANNUAL APPROPRIATION FOR GRANTS.—			
TITLE II SEC. 202.(c)(4)(A)	IN GENERAL.—The annual grant limitation is $10,000,000,000.			
TITLE II SEC. 202.(c)(4)(B)	INFLATION ADJUSTMENT.—			
TITLE II SEC. 202.(c)(4)(B)(i)	IN GENERAL.—In the case of any calendar year after 2023, the $10,000,000,000 amount in subparagraph (A) shall be increased by an amount equal to—			
	shall be increased by an amount equal to—			
TITLE II SEC. 202.(c)(4)(B)(i)(I)	such dollar amount; multiplied by			
TITLE II SEC. 202.(c)(4)(B)(i)(II)	the percentage (if any) by which—			
TITLE II SEC. 202.(c)(4)(B)(i)(II)(aa)	the CPI for the preceding calendar year; exceeds			
TITLE II SEC. 202.(c)(4)(B)(i)(II)(bb)	the CPI for calendar year 2022.			
TITLE II SEC. 202.(c)(4)(B)(ii)	CPI.—Rules similar to the rules of paragraphs (4) and (5) of section 1(f) of the Internal Revenue Code of 1986 shall apply for purposes of this subparagraph.			
TITLE II SEC. 202.(c)(5)	REDISTRIBUTION.—In any case in which one or more States do not meet the requirements described in subsection (d) for a calendar year, an amount equal to the State allocation percentage for such State or States shall be distributed to each State which did meet such conditions in an amount equal to the product of—	case, states, amount, equal, product	[SEC. 3.(a)(1)] SEC. 4695.(b)(1)	CARBON-INTENSIVE PRODUCTS.—In the case of any carbon-intensive product which is exported from the United States, the Secretary shall pay to the person exporting such product a refund equal to the amount of the cost of such product attributable to any fees imposed under this subchapter related to the manufacturing of such product (as determined under regulations established by the Secretary).
TITLE II SEC. 202.(c)(5)		case, states, amount, equal, product	[SEC. 3.(a)(1)] SEC. 4695.(c)(1)(A)	IMPOSITION OF EQUIVALENCY FEE.— In the case of any carbon-intensive product imported into the United States, there is imposed an equivalency fee on the person importing such product in an amount equal to the cost of such product that would be attributable to any fees imposed under this subchapter related to the manufacturing of such product if any inputs or processes used in manufacturing such product were subject to such fees (as determined under regulations established by the Secretary).
TITLE II SEC. 202.(c)(5)(A)	such amount; and			
TITLE II SEC. 202.(c)(5)(B)	the State allocation percentage of such State (determined by not taking into account under paragraph (2)(B) the population of any State which did not meet the requirements of subsection (d) for such calendar year).			
TITLE II SEC. 202.(d)	REQUIREMENTS FOR RECEIPT OF GRANT.—A State or eligible Indian tribe is eligible to receive a cost mitigation grant for any calendar year if—	grant, state, eligible, indian, tribe	SEC. 7.(c)	ELIGIBLE ENTITIES.—An entity eligible to receive a grant under this section is a labor organization, an institution of higher education, a unit of State or local government, an Indian Tribe, an economic development organization, a nonprofit organization, community-based organization, or intermediary, or a State board or local board that serves or is located in a community that—
TITLE II SEC. 202.(d)(1)	the chief executive officer of the State or eligible Indian tribe certifies that the State or eligible Indian tribe will use such grant in a manner consistent with subsection (b);	state, eligible, indian, tribe, grant	SEC. 7.(c)	ELIGIBLE ENTITIES.—An entity eligible to receive a grant under this section is a labor organization, an institution of higher education, a unit of State or local government, an Indian Tribe, an economic development organization, a nonprofit organization, community-based organization, or intermediary, or a State board or local board that serves or is located in a community that—
TITLE II SEC. 202.(d)(2)	the State or eligible Indian tribe has filed with the Secretary of the Treasury a plan covering the calendar year which details the use of the funds received under the grant;	state, eligible, indian, tribe, grant	SEC. 7.(c)	ELIGIBLE ENTITIES.—An entity eligible to receive a grant under this section is a labor organization, an institution of higher education, a unit of State or local government, an Indian Tribe, an economic development organization, a nonprofit organization, community-based organization, or intermediary, or a State board or local board that serves or is located in a community that—
TITLE II SEC. 202.(d)(3)	the State or eligible Indian tribe agrees to comply with any audit requirements under subsection (e); and			
TITLE II SEC. 202.(d)(4)	the State or eligible Indian tribe has complied with the requirements of this section for all preceding years or the State or eligible Indian tribe has remedied all prior noncompliance to the satisfaction of the Secretary of the Treasury.			
TITLE II SEC. 202.(e)	AUDITS.—The Secretary of the Treasury shall audit the State or eligible Indian tribe use of grants under this section to ensure such uses comply with the requirements of this section and with the uses identified by the State or eligible Indian tribe under subsection (d)(2). The Secretary may withhold a grant under this section if the Secretary determines that a State or eligible Indian tribe has not complied with such requirements.	state, eligible, indian, tribe, grant	SEC. 7.(c)	ELIGIBLE ENTITIES.—An entity eligible to receive a grant under this section is a labor organization, an institution of higher education, a unit of State or local government, an Indian Tribe, an economic development organization, a nonprofit organization, community-based organization, or intermediary, or a State board or local board that serves or is located in a community that—
TITLE II SEC. 202.(f)	DEFINITIONS.—For purposes of this section—			
TITLE II SEC. 202.(f)(1)	STATE.—The term ‘‘State’’ includes the District of Columbia, the Commonwealth of Puerto Rico, Guam, American Samoa, the Commonwealth of the Northern Mariana Islands, and the United States Virgin Islands.	term, commonwealth, puerto, rico, northern, mariana, islands, united, states		UNITED STATES.—The term ‘United States’ shall be treated as including each possession of the United States (including the Commonwealth of Puerto Rico and the Commonwealth of the Northern Mariana Islands).
TITLE II SEC. 202.(f)(2)	ELIGIBLE INDIAN TRIBE.—The term ‘‘eligible Indian tribe’’ means has the same meaning given the term ‘‘tribe’’ in section 151.2(b) of title 25, Code of Federal Regulations.			
TITLE II SEC. 202.(g)	APPROPRIATIONS.—For any fiscal year, there is hereby appropriated an amount equal to the annual grant limitation determined under subsection (c)(3) for the calendar year in which such fiscal year begins.			
TITLE III	—ASSISTANCE TO ENERGY VETERANS AND THEIR COMMUNITIES			
TITLE III SEC. 301.	OFFICE OF ENERGY VETERANS ASSISTANCE.			
TITLE III SEC. 301.(a)	ESTABLISHMENT OF OFFICE.—There is established within the Department of the Treasury an office to be known as the Office of Energy Veterans Assistance. The Office of Energy Veterans Assistance shall be headed by an Assistant Secretary who shall be appointed by the Secretary of the Treasury (referred to in this section as the ‘‘Secretary’’).	establishment, established, treasury, known, referred	[SEC. 4.(a)] SEC. 9512.(a)	ESTABLISHMENT AND FUNDING.—There is established in the Treasury of the United States a trust fund to be known as the ‘America’s Clean Future Fund’ (referred to in this section as the ‘Trust Fund’), consisting of such amounts as are appropriated to the Trust Fund under subsection (b).
TITLE III SEC. 301.(b)	RESPONSIBILITIES OF ASSISTANT SECRETARY.— The Secretary, acting through the Assistant Secretary, shall be responsible for—			
TITLE III SEC. 301.(b)(1)	hiring personnel and making employment decisions with regard to such personnel;			
TITLE III SEC. 301.(b)(2)	issuing such regulations as may be necessary to carry out the purposes of this section;			
TITLE III SEC. 301.(b)(3)	entering into cooperative agreements with other agencies and departments to ensure the efficiency of the administration of this section;			
TITLE III SEC. 301.(b)(4)	determining eligibility for benefits provided under this section and providing such benefits to qualified individuals;			
TITLE III SEC. 301.(b)(5)	preventing fraud and abuse relating to such benefits;			
TITLE III SEC. 301.(b)(6)	establishing and maintaining a system of records relating to the administration of this section;			
TITLE III SEC. 301.(b)(7)	ensuring that the Office of Energy Veterans Assistance is designed a manner that maximizes efficiency and ease of use by qualified individuals, which may include establishment and deployment of mobile field or satellite offices within eligible counties (as defined in section 302(a)(1)); and			
TITLE III SEC. 301.(b)(8)	administering the program established under section 302.			
TITLE III SEC. 301.(c)	AUTHORIZATION OF APPROPRIATIONS.—Beginning in fiscal year 2022 and in each fiscal year thereafter, there is authorized to be appropriated, out of moneys in the Treasury not otherwise appropriated, such sums as may be necessary (not to exceed $50,000,000 for each fiscal year) to administer the office established under subsection (a).			
TITLE III SEC. 301.(d)	ADMINISTRATION.—			
TITLE III SEC. 301.(d)(1)	NOTIFICATION.—Not later than the date which is 4 months prior to the closure of a coal mine or coal power plant, the operator of such mine or plant shall provide notice to the Secretary with respect to such closure, including such information as is deemed necessary by the Secretary to determine the eligibility of any former employee of such mine or plant for any benefits provided under this section, as well as the amount of such benefits.			
TITLE III SEC. 301.(d)(2)	CLOSURE.—For purposes of this section, the term ‘‘closure’’ means—			
TITLE III SEC. 301.(d)(2)(A)	with respect to any coal mine, any reduction in production occurring after the date of enactment of this Act which is accompanied by permanent layoffs; and			
TITLE III SEC. 301.(d)(2)(B)	with respect to any coal power plant, the permanent closure of 1 or more generating units occurring after the date of enactment of this Act which is accompanied by permanent layoffs.			
TITLE III SEC. 301.(d)(3)	QUALIFIED INDIVIDUAL.—For purposes of this section, the term ‘‘qualified individual’’ means any individual—			
TITLE III SEC. 301.(d)(3)(A)	whose employment was terminated as the result of the closure of 1 or more coal mines or coal power plants;			
TITLE III SEC. 301.(d)(3)(B)	who, prior to such closure, was continually employed at 1 or more such mines or plants—			
TITLE III SEC. 301.(d)(3)(B)(i)	for a period of not less than 12 months, and			
TITLE III SEC. 301.(d)(3)(B)(ii)	for an average of not less than 35 hours a week during the 12-month period preceding such closure; and			
TITLE III SEC. 301.(d)(3)(C)	for whom the applicable information has been provided to the Secretary pursuant to paragraph (1).			
TITLE III SEC. 301.(e)	WAGE REPLACEMENT.—			
TITLE III SEC. 301.(e)(1)	IN GENERAL.—In the case of any qualified individual, during the applicable period, the Secretary shall provide such individual with payments in an amount which, for each month during such period, is equivalent to the average amount of monthly remuneration for employment paid to such individual during the 12-month period prior to the termination of their employment (as described in subsection (d)(3)(A)).			
TITLE III SEC. 301.(e)(2)	APPLICABLE PERIOD.—For purposes of this subsection, the term ‘‘applicable period’’ means, with respect to any qualified individual, the 60-month period subsequent to the termination of their employment (as described in subsection (d)(3)(A)).	applicable, period, subsection, term, respect	[SEC. 3.(a)] SEC. 4692.(a)(1)	APPLICABLE PERIOD.—The term ‘applicable period’ means, with respect to any determination made by the Secretary under subsection (e)(3) for any calendar year, the period—
TITLE III SEC. 301.(e)(3)	FREQUENCY OF PAYMENT.—Any payment required to be provided to an qualified individual under this subsection shall be provided by the Secretary on a basis which is not less frequent than once per month during the applicable period.			
TITLE III SEC. 301.(e)(4)	ADJUSTMENT FOR INFLATION.—For purposes of any payment described in paragraph (1) which is provided to an qualified individual during a calendar year beginning after the date that the employment of such individual was terminated, such amount shall be adjusted in a manner similar to the cost-of-living adjustment determined under section 1(f)(3) of the Internal Revenue Code of 1986 for such calendar year.	purposes, described, beginning, amount, determined	[SEC. 4.(a)] SEC. 9512.(c)(1)(B)	AGRICULTURAL DECARBONIZATION TRANSITION PAYMENTS.—For the purposes described in section 6 of the America’s Clean Future Fund Act, for each of the first 10 fiscal years beginning after September 30, 2023, an amount equal to 7 percent of the amount determined annually under subparagraph (A)(i)(I).
TITLE III SEC. 301.(e)(4)		individual, calendar, beginning, internal, revenue, code	SEC. 5.(b)	REBATES.—Subject to subsections (c)(2) and (k), from amounts in the America’s Clean Future Fund established by section 9512(c)(1)(A) of the Internal Revenue Code of 1986 that are available in any year, the Secretary shall, for each calendar quarter beginning after September 30, 2023, make carbon fee rebate payments to each eligible individual, to be known as ‘‘America’s Clean Future Fund Stimulus payments’’ (referred to in this section as ‘‘carbon fee rebate payments’’).
TITLE III SEC. 301.(e)(4)		payment, individual, beginning, amount, internal, revenue, code	SEC. 5.(c)(1)	IN GENERAL.—With respect to each quarter during any fiscal year beginning after September 30, 2023, the carbon fee rebate payment is 1 pro-rata share for each eligible individual of an amount equal to 25 percent of amounts apportioned under section 9512(c)(1)(A) of the Internal Revenue Code of 1986 for such fiscal year.
TITLE III SEC. 301.(e)(4)		amount, adjusted, internal, revenue, code	SEC. 5.(d)(1)(A)	MODIFIED ADJUSTED GROSS INCOME.—The term ‘‘modified adjusted gross income’’ means adjusted gross income increased by any amount excluded from gross income under section 911, 931, or 933 of the Internal Revenue Code of 1986.
TITLE III SEC. 301.(e)(5)	TAX TREATMENT.—Any amount provided to an qualified individual under this subsection shall be treated as—			
TITLE III SEC. 301.(e)(5)(A)	gross income for purposes of the Internal Revenue Code of 1986; and	gross, income, internal, revenue, code	SEC. 5.(d)(1)(A)	MODIFIED ADJUSTED GROSS INCOME.—The term ‘‘modified adjusted gross income’’ means adjusted gross income increased by any amount excluded from gross income under section 911, 931, or 933 of the Internal Revenue Code of 1986.
TITLE III SEC. 301.(e)(5)(B)	for purposes of section 3101 of such Code, wages received by the individual with respect to employment.			
TITLE III SEC. 301.(e)(6)	TRANSFER TO FEDERAL OLD-AGE AND SURVIVORS INSURANCE TRUST FUND.—There are hereby appropriated to the Federal Old-Age and Survivors Insurance Trust Fund and the Federal Disability Insurance Trust Fund established under section 201 of the Social Security Act (42 U.S.C. 401) amounts equal to the amount of taxes that would otherwise have been imposed under section 3111(a) of the Internal Revenue Code of 1986 if the amounts provided to qualified individuals under this subsection were treated as wages paid by the employer with respect to employment. Amounts appropriated by the preceding sentence shall be transferred from the general fund at such times and in such manner as to replicate to the extent possible the transfers which would have otherwise occurred to such Trust Fund pursuant to the treatment described in the preceding sentence.	trust, fund, appropriated, established, amounts, subsection	[SEC. 4.(a)] SEC. 9512.(a)	ESTABLISHMENT AND FUNDING.—There is established in the Treasury of the United States a trust fund to be known as the ‘America’s Clean Future Fund’ (referred to in this section as the ‘Trust Fund’), consisting of such amounts as are appropriated to the Trust Fund under subsection (b).
TITLE III SEC. 301.(e)(6)		trust, fund, appropriated, amounts, equal, otherwise, transfers	[SEC. 4.(a)] SEC. 9512.(b)	TRANSFERS TO AMERICA’S CLEAN FUTURE FUND.—There is appropriated to the Trust Fund, out of any funds in the Treasury not otherwise appropriated, amounts equal to the fees received into the Treasury under sections 4692, 4693, and 4695, less—
TITLE III SEC. 301.(e)(6)		fund, act, equal, amount, described	[SEC. 4.(a)] SEC. 9512.(c)(1)(B)	AGRICULTURAL DECARBONIZATION TRANSITION PAYMENTS.—For the purposes described in section 6 of the America’s Clean Future Fund Act, for each of the first 10 fiscal years beginning after September 30, 2023, an amount equal to 7 percent of the amount determined annually under subparagraph (A)(i)(I).
TITLE III SEC. 301.(e)(6)		fund, established, amounts, internal, revenue, code	SEC. 5.(b)	REBATES.—Subject to subsections (c)(2) and (k), from amounts in the America’s Clean Future Fund established by section 9512(c)(1)(A) of the Internal Revenue Code of 1986 that are available in any year, the Secretary shall, for each calendar quarter beginning after September 30, 2023, make carbon fee rebate payments to each eligible individual, to be known as ‘‘America’s Clean Future Fund Stimulus payments’’ (referred to in this section as ‘‘carbon fee rebate payments’’).
TITLE III SEC. 301.(e)(6)		amounts, equal, amount, internal, revenue, code, respect	SEC. 5.(c)(1)	IN GENERAL.—With respect to each quarter during any fiscal year beginning after September 30, 2023, the carbon fee rebate payment is 1 pro-rata share for each eligible individual of an amount equal to 25 percent of amounts apportioned under section 9512(c)(1)(A) of the Internal Revenue Code of 1986 for such fiscal year.
TITLE III SEC. 301.(e)(6)		federal, amounts, taxes, paid, treatment	SEC. 5.(e)	FEE TREATMENT OF PAYMENTS.—Amounts paid under this section shall not be includible in gross income for purposes of Federal income taxes.
TITLE III SEC. 301.(e)(6)		federal, social, security, act, u.s.c	SEC. 5.(i)	PUBLIC AWARENESS CAMPAIGN.—The Secretary shall conduct a public awareness campaign, in coordination with the Commissioner of Social Security, the heads of other relevant Federal agencies, and Indian Tribes (as defined in section 4 of the Indian Self-Determination and Education Assistance Act (25 U.S.C. 5304)), to provide information to the public regarding the availability of carbon fee rebate payments under this section.
TITLE III SEC. 301.(e)(6)		fund, amounts, internal, revenue, code	SEC. 7.(h)(2)	AMERICA’S CLEAN FUTURE FUND.—The Secretary shall carry out this section using amounts made available from the America’s Clean Future Fund under section 9512 of the Internal Revenue Code of 1986 (as added by section 4).
TITLE III SEC. 301.(f)	HEALTH INSURANCE BENEFITS.—			
TITLE III SEC. 301.(f)(1)	IN GENERAL.—The Secretary shall provide the following health insurance benefits:			
TITLE III SEC. 301.(f)(1)(A)	In the case of a qualified individual who is receiving continuation coverage pursuant to part 6 of subtitle B of title I of the Employee Retirement Income Security Act of 1974 (29 U.S.C. 1161 et seq.) and section 4980B of the Internal Revenue Code of 1986, the Secretary shall transfer, each month, to the group health plan (or health insurance issuer offering health insurance coverage in connection with such a plan) of such qualified individual, the amount required to cover the same percentage of the qualified individual’s monthly premium (including coverage for any qualified beneficiaries) that such individual’s former employer contributed toward such premium during the individual’s employment.	individual, internal, revenue, code, secretary	SEC. 5.(b)	REBATES.—Subject to subsections (c)(2) and (k), from amounts in the America’s Clean Future Fund established by section 9512(c)(1)(A) of the Internal Revenue Code of 1986 that are available in any year, the Secretary shall, for each calendar quarter beginning after September 30, 2023, make carbon fee rebate payments to each eligible individual, to be known as ‘‘America’s Clean Future Fund Stimulus payments’’ (referred to in this section as ‘‘carbon fee rebate payments’’).
TITLE III SEC. 301.(f)(1)(A)		individual, internal, revenue, code, amount	SEC. 5.(c)(1)	IN GENERAL.—With respect to each quarter during any fiscal year beginning after September 30, 2023, the carbon fee rebate payment is 1 pro-rata share for each eligible individual of an amount equal to 25 percent of amounts apportioned under section 9512(c)(1)(A) of the Internal Revenue Code of 1986 for such fiscal year.
TITLE III SEC. 301.(f)(1)(A)		income, internal, revenue, code, amount	SEC. 5.(d)(1)(A)	MODIFIED ADJUSTED GROSS INCOME.—The term ‘‘modified adjusted gross income’’ means adjusted gross income increased by any amount excluded from gross income under section 911, 931, or 933 of the Internal Revenue Code of 1986.
TITLE III SEC. 301.(f)(1)(B)	In the case of a qualified individual who is not eligible for continuation coverage as described in subparagraph (A), the Secretary shall transfer to the qualified individual, each month, an amount equal to the amount that the individual’s former employer contributed each month towards premiums for enrollment of the individual and qualified beneficiaries in a group health plan (including any health insurance coverage offered in connection with such a plan), adjusted in accordance with the average increase in health insurance premiums in the individual market in the applicable State. This amount shall not be considered as gross income for purposes of the Internal Revenue Code of 1986 provided that the individual provides proof that it has been used to purchase health insurance coverage.	case, secretary, transfer, amount, equal	[SEC. 3.(a)(1)] SEC. 4695.(b)(2)	COVERED FUELS.—In the case of any covered fuel which is exported from the United States, the Secretary shall pay to the person exporting such fuel a refund equal to the amount of the cost of such fuel attributable to any fees imposed under this subchapter related to the use, sale, or transfer of such fuel.
TITLE III SEC. 301.(f)(1)(B)		described, subparagraph, amount, equal, purposes	[SEC. 4.(a)] SEC. 9512.(c)(1)(B)	AGRICULTURAL DECARBONIZATION TRANSITION PAYMENTS.—For the purposes described in section 6 of the America’s Clean Future Fund Act, for each of the first 10 fiscal years beginning after September 30, 2023, an amount equal to 7 percent of the amount determined annually under subparagraph (A)(i)(I).
TITLE III SEC. 301.(f)(1)(B)		individual, eligible, secretary, internal, revenue, code	SEC. 5.(b)	REBATES.—Subject to subsections (c)(2) and (k), from amounts in the America’s Clean Future Fund established by section 9512(c)(1)(A) of the Internal Revenue Code of 1986 that are available in any year, the Secretary shall, for each calendar quarter beginning after September 30, 2023, make carbon fee rebate payments to each eligible individual, to be known as ‘‘America’s Clean Future Fund Stimulus payments’’ (referred to in this section as ‘‘carbon fee rebate payments’’).
TITLE III SEC. 301.(f)(1)(B)		individual, eligible, amount, equal, internal, revenue, code	SEC. 5.(c)(1)	IN GENERAL.—With respect to each quarter during any fiscal year beginning after September 30, 2023, the carbon fee rebate payment is 1 pro-rata share for each eligible individual of an amount equal to 25 percent of amounts apportioned under section 9512(c)(1)(A) of the Internal Revenue Code of 1986 for such fiscal year.
TITLE III SEC. 301.(f)(1)(B)		amount, adjusted, gross, income, internal, revenue, code	SEC. 5.(d)(1)(A)	MODIFIED ADJUSTED GROSS INCOME.—The term ‘‘modified adjusted gross income’’ means adjusted gross income increased by any amount excluded from gross income under section 911, 931, or 933 of the Internal Revenue Code of 1986.
TITLE III SEC. 301.(f)(1)(B)		case, amount, equal, adjusted, gross, income	SEC. 5.(d)(2)	PHASEOUT OF PAYMENTS.—In the case of any taxpayer whose modified adjusted gross income for the most recent taxable year for which a return has been filed exceeds the threshold amount, the amount of the carbon fee rebate payment otherwise payable to any household member of the taxpayer under this section shall be reduced (but not below zero) by a dollar amount equal to 5 percent of such payment (as determined before application of this paragraph) for each $1,000 (or fraction thereof) by which the modified adjusted gross income of the taxpayer exceeds the threshold amount.
TITLE III SEC. 301.(f)(1)(B)		individual, eligible, amount, state, income, purposes	SEC. 5.(f)	FEDERAL PROGRAMS AND FEDERAL ASSISTED PROGRAMS.—The carbon fee rebate payment received by any eligible individual shall not be taken into account as income and shall not be taken into account as resources for purposes of determining the eligibility of such individual or any other individual for benefits or assistance, or the amount or extent of benefits or assistance, under any Federal program or under any State or local program financed in whole or in part with Federal funds.
TITLE III SEC. 301.(f)(2)	REDUCTION OF PREMIUMS PAYABLE BY INDIVIDUALS.—In the case of a qualified individual and qualified beneficiaries receiving benefits described in paragraph (1)(A) during the applicable period of coverage described in paragraph (3)(A), such individual and beneficiaries shall be treated for purposes of part 6 of subtitle B of title I of the Employee Retirement Income Security Act of 1974 (29 U.S.C. 1161 et seq.) and section 4980B of the Internal Revenue Code of 1986 as having paid in full the amount of such premium for a month if such qualified individual and qualified beneficiary pays the total monthly premium due, less the amount of benefits paid on behalf of such individual and beneficiaries pursuant to paragraph (1)(A).	individual, internal, revenue, code, amount	SEC. 5.(c)(1)	IN GENERAL.—With respect to each quarter during any fiscal year beginning after September 30, 2023, the carbon fee rebate payment is 1 pro-rata share for each eligible individual of an amount equal to 25 percent of amounts apportioned under section 9512(c)(1)(A) of the Internal Revenue Code of 1986 for such fiscal year.
TITLE III SEC. 301.(f)(2)		income, internal, revenue, code, amount	SEC. 5.(d)(1)(A)	MODIFIED ADJUSTED GROSS INCOME.—The term ‘‘modified adjusted gross income’’ means adjusted gross income increased by any amount excluded from gross income under section 911, 931, or 933 of the Internal Revenue Code of 1986.
